Date,MH1,MH2,LTR,MH3,ACR,Other
2024/12/01,2.45,7.52,6.06,37.35,0.0,46.62
2024/12/02,1.83,5.01,7.3,37.04,0.24,48.59
2024/12/05,3.67,7.35,5.63,31.23,0.0,52.12
2024/12/06,1.76,5.46,6.77,37.51,0.08,48.43
2024/12/07,2.74,6.67,6.44,36.41,0.06,47.7
2024/12/08,2.26,5.52,7.19,39.16,0.0,45.87
2024/12/09,1.85,8.15,6.65,45.09,0.0,38.27
2024/12/10,1.93,7.43,6.69,40.39,0.0,43.56
2024/12/12,1.8,6.83,7.35,43.54,0.0,40.47
2024/12/13,1.99,5.72,6.16,40.5,0.0,45.62
2024/12/14,2.95,6.11,5.88,37.01,0.0,48.05
2024/12/15,2.36,5.95,6.59,36.65,0.0,48.46
2024/12/16,3.28,5.7,6.68,35.46,0.0,48.88
2024/12/17,5.65,10.14,2.02,20.63,0.0,61.56
2024/12/19,5.51,9.47,3.39,24.86,0.46,56.31
2024/12/20,4.35,8.55,2.91,22.39,0.23,61.57
2024/12/21,4.91,9.38,3.48,23.01,0.0,59.22
2024/12/22,5.07,8.24,4.08,28.77,0.12,53.72
2024/12/23,5.85,9.46,3.9,23.89,0.0,56.89
